DIGITAL_OBJECT - URL_TEXT,DIGITAL_OBJECT - URL,RECORD_URL,DESC,YEAR_DISPLAY,NAME,WILL_NO,YEAR,SHIP,PROPERTY,PROPERTY_INDEX,CORRES_SUBJ,SUBJ_SR,NAME_TITLE,NAME_RANK,NAME_SEE_ALSO,DESC_SR
CSO3-1-3_234_S,https://stors.tas.gov.au/CSO3-1-3_234_S,https://stors.tas.gov.au/NI/1624252,For a town allotment,1824-1836,"Smithson, William",10697,1824-1836,,,,,,,,,
CSO3-1-3_234_S,https://stors.tas.gov.au/CSO3-1-3_234_S,https://stors.tas.gov.au/NI/1624254,Money lodged with Colonial Agent for (13319)|For compensation in not obtaining possession of the Ross reserve (13690),1824-1836,"Smith, Phillip Thomas","13319, 13690",1824-1836,,,,,,,,,
CSO3-1-3_234_S,https://stors.tas.gov.au/CSO3-1-3_234_S,https://stors.tas.gov.au/NI/1624255,"Superintendent convict writers for a passage to Sydney, insolvency testimonials (14868)|Superintendent convict writers for a passage to Sydney, insolvency testimonials (17576)|Remission of one hundred and fifty pounds on purchase of land (14925)|Appointment Pound Keeper Campbell Town (15546)",1824-1836,"Small, F.W","14868, 17576, 14925, 15546, 15540",1824-1836,,,,,,,Lieutenant,,
CSO3-1-3_235_S,https://stors.tas.gov.au/CSO3-1-3_235_S,https://stors.tas.gov.au/NI/1624258,For compensation in lieu of grant of land,1824-1836,"Snodgrass, William",18130,1824-1836,,,,,,,,,
CSO3-1-3_235_S,https://stors.tas.gov.au/CSO3-1-3_235_S,https://stors.tas.gov.au/NI/1624259,For a Suburb allotment,1824-1836,"Smythe, Benjamin",19132,1824-1836,,,,,,,,,
CSO3-1-3_237_S,https://stors.tas.gov.au/CSO3-1-3_237_S,https://stors.tas.gov.au/NI/1624262,For Sawyers,1824-1836,"Spode, Josiah",11353,1824-1836,,,,,,,,,
CSO3-1-3_238_S,https://stors.tas.gov.au/CSO3-1-3_238_S,https://stors.tas.gov.au/NI/1624263,"Respecting his leave of absence in England and the discharge of his duties (12638)|To be allowed to take Lucy Tibbetts a prisoner of the Crown to England (12767)|Salary for his Clerk, sanctioned by Secretary of State claimed by (14601)|Appointment and salary as Attorney General (15131)|For fencing to his land (18311)",1824-1836,"Stephen, Alfred","12638, 12767, 14601, 15131, 18311",1824-1836,,,,,,,,,
CSO3-1-3_238_S,https://stors.tas.gov.au/CSO3-1-3_238_S,https://stors.tas.gov.au/NI/1624266,For land,1824-1836,"Stewart, John William",17092,1824-1836,,,,,,,,,
CSO3-1-3_238_S,https://stors.tas.gov.au/CSO3-1-3_238_S,https://stors.tas.gov.au/NI/1624267,For his aunts legacy testimonials,1824-1836,"Stubbs, Thomas",18251,1824-1836,,,,,,,,,
CSO3-1-3_238_S,https://stors.tas.gov.au/CSO3-1-3_238_S,https://stors.tas.gov.au/NI/1624268,For a situation for his son,1824-1836,"Stallard, M.S",16373,1824-1836,,,,,,,,,
CSO3-1-3_238_S,https://stors.tas.gov.au/CSO3-1-3_238_S,https://stors.tas.gov.au/NI/1624269,Compensation for land (Watch House built),1824-1836,"Stewart, John",18731,1824-1836,,,,,,,,,
CSO3-1-3_239_S,https://stors.tas.gov.au/CSO3-1-3_239_S,https://stors.tas.gov.au/NI/1624271,Appointed Clerk to Commissioners for Titles,1824-1836,"Sutton, Robert (Junior)",13964,1824-1836,,,,,,,,,
CSO3-1-3_239_S,https://stors.tas.gov.au/CSO3-1-3_239_S,https://stors.tas.gov.au/NI/1624272,"For travelling expenses whilst acting Solicitor General (14253)|For the attendance of a man from Port Arthur as a witness (14960)|Various suggestions upon law subjects, whaling licences (15323)|Legal services to Mr Patten Launceston claim for. For a new Caveat Board, servants (15604)|Letters of denization for E.C Greene (18671)|Letters of denization for E.C Greene (18735)|For a situation (18678)",1824-1836,"Sutton, Daniel","14253, 14960, 15323, 15604, 18671, 18735, 18678",1824-1836,,,,,,,,,
CSO3-1-3_239_S,https://stors.tas.gov.au/CSO3-1-3_239_S,https://stors.tas.gov.au/NI/1624273,Respecting the appointment of Commissioners and repairs for the Court House (17680)|Office and office furniture (18114)|Admission of Legal Practitioners (18797)|Rules for appeals to the Privy Council (15964)|Summonses issued between 1829 to 1835 (18513),1824-1836,,"17680, 18114, 18797, 15964, 18513",1824-1836,,,,Supreme Court,Supreme Court,,,,
CSO3-1-3_239_S,https://stors.tas.gov.au/CSO3-1-3_239_S,https://stors.tas.gov.au/NI/1624274,For a grant of land,1824-1836,"Sullivan, Dennis",10576,1824-1836,,,,,,,,,
CSO3-1-3_239_S,https://stors.tas.gov.au/CSO3-1-3_239_S,https://stors.tas.gov.au/NI/1624275,For a grant of land,1824-1836,"Sutherland, George",10702,1824-1836,,,,,,,,,
CSO3-1-3_239_S,https://stors.tas.gov.au/CSO3-1-3_239_S,https://stors.tas.gov.au/NI/1624277,Memorial for land,1824-1836,"Sutton, Alexander",8429,1824-1836,,,,,,,,,
CSO3-1-3_240_S,https://stors.tas.gov.au/CSO3-1-3_240_S,https://stors.tas.gov.au/NI/1624278,Bill to be certified by the Lieutenant Governor drawn on England (14967)|Application from Dr Inches Savage and Sproule for charge of 63rd Regiment to India (15146)|Report of deaths on board to be made (15199),1824-1836,,"14967, 15146, 15199",1824-1836,,,,Surgeon Superintendents,Surgeon Superintendents,,,,
CSO3-1-3_242_T,https://stors.tas.gov.au/CSO3-1-3_242_T,https://stors.tas.gov.au/NI/1624279,Offer to surrender his land at Swan Port (2077)|To purchase land at South Esk Plains (4057)|For convict servants (6268)|Complaint of his sheep being impounded (8877),1824-1836,"Talbot, William","2077, 4057, 6268, 8877",1824-1836,,,,,,,,,
CSO3-1-3_242_T,https://stors.tas.gov.au/CSO3-1-3_242_T,https://stors.tas.gov.au/NI/1624280,For a grant of land (16128)|Land withdrawn from (17186)|Application for a Police establishment at Avoca (17858),1824-1836,"Talbot, S. Neil","16128, 17186, 17858",1824-1836,,,,,,,,,
CSO3-1-3_242_T,https://stors.tas.gov.au/CSO3-1-3_242_T,https://stors.tas.gov.au/NI/1624282,"Inhabitants on the banks, for increase of their grants because they have not been measured",1824-1836,,12679,1824-1836,,,,Tamar,Tamar,,,,
CSO3-1-3_242_T,https://stors.tas.gov.au/CSO3-1-3_242_T,https://stors.tas.gov.au/NI/1624286,Soliciting patronage and land for races,1824-1836,,1764,1824-1836,,,,Tasmanian Turf Club,Tasmanian Turf Club,,,,
CSO3-1-3_242_T,https://stors.tas.gov.au/CSO3-1-3_242_T,https://stors.tas.gov.au/NI/1624287,Requesting land for his sons (2078)|For loan of Sawyers (2082)|Land Lord Bathurst's permission (4561),1824-1836,"Taylor, George","2078, 2082, 4561",1824-1836,,,,,,,,,
CSO3-1-3_242_T,https://stors.tas.gov.au/CSO3-1-3_242_T,https://stors.tas.gov.au/NI/1624290,Land schedule of property Bathurst (4524)|Land schedule of property Bathurst (2558)|For a Ticket of Leave for his servant (18381),1824-1836,"Taylor, Robert","4524, 2558, 18381",1824-1836,,,,,,,,,
CSO3-1-3_242_T,https://stors.tas.gov.au/CSO3-1-3_242_T,https://stors.tas.gov.au/NI/1624293,For permission to send oil by Government vessel from Macquarie Harbour,1824-1836,"Taw, Charles",12049,1824-1836,,,,,,,,,
CSO3-1-3_242_T,https://stors.tas.gov.au/CSO3-1-3_242_T,https://stors.tas.gov.au/NI/1624294,For land schedule of property,1824-1836,"Taylor, Allen",15399,1824-1836,,,,,,,,,
CSO3-1-3_243_T,https://stors.tas.gov.au/CSO3-1-3_243_T,https://stors.tas.gov.au/NI/1624298,Application for additional land (6858)|For the loan of four carpenters (10504),1824-1836,"Terry, John","6858, 10504",1824-1836,,,,,,,,,
CSO3-1-3_243_T,https://stors.tas.gov.au/CSO3-1-3_243_T,https://stors.tas.gov.au/NI/1624299,Application for land and schedules,1824-1836,"Tennant, George",9247,1824-1836,,,,,,,,,
CSO3-1-3_243_T,https://stors.tas.gov.au/CSO3-1-3_243_T,https://stors.tas.gov.au/NI/1624300,For land,1824-1836,"Templeton, Given Name Not Recorded",11261,1824-1836,,,,,,Mrs,,,
CSO3-1-3_244_T,https://stors.tas.gov.au/CSO3-1-3_244_T,https://stors.tas.gov.au/NI/1624302,Lieutenant Governor's patronage for a periodical (106)|Men's wages (2085)|Application for reserve of land given him by Colonel Sorell (4364),1824-1836,"Thomson, G","106, 2085, 4364",1824-1836,,,,,,,,,
CSO3-1-3_244_T|CSO3-1-3_251_T,https://stors.tas.gov.au/CSO3-1-3_244_T|https://stors.tas.gov.au/CSO3-1-3_251_T,https://stors.tas.gov.au/NI/1624303,"For land near town (121)|For reserve, removal, improvements (690)|For Commissioner of the Peace, land for Colonel Thomas and various subjects (2104)|Land for cultivation of flax (3269)|For reserve for Public Officers of land (3296)|As to Mr O'Connors appointment as Commissioner of Surveys (3298)|Taking grain from settlers near stations where required (3299)|For men on loan (3300)|Purchase of farms for Government in marsh Launceston (3301)|For Pattersons Island (4520)|To rent the township land Brighton (5787)|Complaining of Inspector of Stock (7353)|Improvement in marsh Launceston (7354)|For the survey of Port Sorell and Mersey (10468)|For the restitution of goods seized at George Town (10604)|Complaining of Mr Staces dishonesty (10919)|Defalcation as Treasurer (11415)|Memorial to Secretary of State (18674)|Application for Sheriffs return of poundage fees (18819)|Payment of Bill remitted to Treasury (18896)|Mrs Thomas's loss of money (19039)",1824-1836,"Thomas, Joscelyn","121, 690, 2104, 3269, 3296, 3297, 3298, 3299, 3300, 3301, 4520, 5787, 7353, 7354, 10468, 10604, 10919, 11415, 18674, 18819, 18896, 19039",1824-1836,,,,,,,,,
CSO3-1-3_244_T,https://stors.tas.gov.au/CSO3-1-3_244_T,https://stors.tas.gov.au/NI/1624304,Application for land (688)|Requsting land (2076)|For allotment New Norfolk (9621),1824-1836,"Thomson, David","688, 2076, 9621",1824-1836,,,,,,,,,
CSO3-1-3_244_T|CSO3-1-3_252_T,https://stors.tas.gov.au/CSO3-1-3_244_T|https://stors.tas.gov.au/CSO3-1-3_252_T,https://stors.tas.gov.au/NI/1624305,For land granted to his brother (2070)|For land granted to his brother (2080)|G Ralston on behalf of for purchase of land (4334)|For a town allotment (10712)|For appointment Inspector of Distilleries Launceston (13674),1824-1836,"Thomson, Archibald","2070, 2080, 4334, 10712, 13674",1824-1836,,,,,,,,,
CSO3-1-3_244_T,https://stors.tas.gov.au/CSO3-1-3_244_T,https://stors.tas.gov.au/NI/1624306,For land (1099)|For grant of land as to his means (2072),1824-1836,"Thurnell, Samuel","1099, 2072",1824-1836,,,,,,,,,
CSO3-1-3_244_T|CSO3-1-3_251_T,https://stors.tas.gov.au/CSO3-1-3_244_T|https://stors.tas.gov.au/CSO3-1-3_251_T,https://stors.tas.gov.au/NI/1624308,"Application for a blacksmith (1708)|For allotment New Town (2962)|Lieutenant Governor's minute regarding his improvements, stock (3911)|For land (6760)|For a suburb allotment (9497)|For a town allotment (10117)|To purchase the Badger (11420)",1824-1836,"Thomas, B.B","1708, 2962, 3911, 6760, 9497, 10117, 11420",1824-1836,,,,,,,,,
CSO3-1-3_244_T,https://stors.tas.gov.au/CSO3-1-3_244_T,https://stors.tas.gov.au/NI/1624309,For permission to distil from sugar (2065)|For loan of men to repair a dam (2081)|As to distillation from sugar (2087),1824-1836,"Thornton, Nathaniel","2065, 2081, 2087",1824-1836,,,,,,,,,
CSO3-1-3_244_T,https://stors.tas.gov.au/CSO3-1-3_244_T,https://stors.tas.gov.au/NI/1624310,For grant of land (2093)|For residence at Brighton (3065)|Appointed Chief District Constable (5061)|Appointment at Kangaroo Point (9358)|For a town allotment (10427),1824-1836,"Thrupp, Alfred","2093, 3065, 9740, 5061, 9358, 10427",1824-1836,,,,,,,,,
CSO3-1-3_244_T,https://stors.tas.gov.au/CSO3-1-3_244_T,https://stors.tas.gov.au/NI/1624311,For land,1824-1836,"Thompkins, Given Name Not Recorded",2097,1824-1836,,,,,,,,,
CSO3-1-3_244_T,https://stors.tas.gov.au/CSO3-1-3_244_T,https://stors.tas.gov.au/NI/1624314,For permission to purchase land,1824-1836,"Thorne, Archibald",2403,1824-1836,,,,,,,,,
CSO3-1-3_244_T,https://stors.tas.gov.au/CSO3-1-3_244_T,https://stors.tas.gov.au/NI/1624315,For land and schedule of property,1824-1836,"Thompson, Jeremiah",4343,1824-1836,,,,,,,,,
CSO3-1-3_244_T,https://stors.tas.gov.au/CSO3-1-3_244_T,https://stors.tas.gov.au/NI/1624316,"For a Licence for house at Epping (4096)|For land, to leave Colony (4523)|For situation in the Colonial Secretary (5804)|To be Notary Launceston (8331)",1824-1836,"Thomas, E.H","4096, 4523, 5804, 8331",1824-1836,,,,,,,,,
CSO3-1-3_244_T,https://stors.tas.gov.au/CSO3-1-3_244_T,https://stors.tas.gov.au/NI/1624317,Land Lord Bathurst's permission (4513)|For a grant of land (10849)|For military protection (12037),1824-1836,"Thompson, John","4513, 10849, 12037",1824-1836,,,,,,,,,
CSO3-1-3_244_T,https://stors.tas.gov.au/CSO3-1-3_244_T,https://stors.tas.gov.au/NI/1624319,For measurement of Templemans land and additional land,1824-1836,"Thorne, T",5335,1824-1836,,,,,,,,,
CSO3-1-3_244_T,https://stors.tas.gov.au/CSO3-1-3_244_T,https://stors.tas.gov.au/NI/1624320,For town allotment Bothwell,1824-1836,"Thomas, William",7272,1824-1836,,,,,,,,,
CSO3-1-3_244_T,https://stors.tas.gov.au/CSO3-1-3_244_T,https://stors.tas.gov.au/NI/1624321,For additional land,1824-1836,"Thrupp, Henry",8501,1824-1836,,,,,,,,,
CSO3-1-3_244_T,https://stors.tas.gov.au/CSO3-1-3_244_T,https://stors.tas.gov.au/NI/1624322,Form of (1827)|Affidavits on removal of (2306)|List of applications for (10289)|List of applications for 1831 (10821)|Petitions for (16000),1824-1836,,"1827, 2306, 10289, 10821, 16000",1824-1836,,,,Ticket of Leave,Ticket of Leave,,,,
CSO3-1-3_244_T,https://stors.tas.gov.au/CSO3-1-3_244_T,https://stors.tas.gov.au/NI/1624323,For compensation for loss of situation,1824-1836,"Timms, Martin",2079,1824-1836,,,,,,,,,
CSO3-1-3_244_T,https://stors.tas.gov.au/CSO3-1-3_244_T,https://stors.tas.gov.au/NI/1624325,For grant of land (4225)|Allotment (12456)|For a right of road to North Esk (15492),1824-1836,"Tibbs, John (Junior)","4225, 12456, 15492",1824-1836,,,,,,,,,
CSO3-1-3_244_T,https://stors.tas.gov.au/CSO3-1-3_244_T,https://stors.tas.gov.au/NI/1624327,Application for a grant,1824-1836,"Till, John",9978,1824-1836,,,,,,,,,
CSO3-1-3_244_T,https://stors.tas.gov.au/CSO3-1-3_244_T,https://stors.tas.gov.au/NI/1624328,For extension of land (1728)|For additional land (2096),1824-1836,"Thurthill, Robert","1728, 2096",1824-1836,,,,,,,,,
CSO3-1-3_245_T,https://stors.tas.gov.au/CSO3-1-3_245_T,https://stors.tas.gov.au/NI/1624334,Relative to the seizure of his wine (2074)|For land (9370)|Correspondence regarding his Distillery and reports (2099)|For road through Reibys Farm to Distillery (3310)|For Licence to sell spirits (4162),1824-1836,"Towers, James","2074, 9370, 2099, 3310, 4162",1824-1836,,,,,,,,,
CSO3-1-3_245_T,https://stors.tas.gov.au/CSO3-1-3_245_T,https://stors.tas.gov.au/NI/1624335,For land,1824-1836,"Townsend, John",2089,1824-1836,,,,,,,,,
CSO3-1-3_245_T,https://stors.tas.gov.au/CSO3-1-3_245_T,https://stors.tas.gov.au/NI/1624338,For land,1824-1836,"Tod, S",11076,1824-1836,,,,,,,,,
CSO3-1-3_245_T,https://stors.tas.gov.au/CSO3-1-3_245_T,https://stors.tas.gov.au/NI/1624339,Application for land and schedule of property (6778)|Appointed Police Magistrate Hamilton (10391)|For a town allotment (10502)|For Sawyers (11031)|State of women from House of Correction (19025),1824-1836,"Torlesse, H.B","6778, 10391, 10502, 11031, 19025",1824-1836,,,,,,,,,
CSO3-1-3_245_T,https://stors.tas.gov.au/CSO3-1-3_245_T,https://stors.tas.gov.au/NI/1624340,Memorial for land and schedule of property (6867)|For the situation of Pound Keeper (14319),1824-1836,"Tolmy, Andrew","6867, 14319",1824-1836,,,,,,,,,
CSO3-1-3_245_T,https://stors.tas.gov.au/CSO3-1-3_245_T,https://stors.tas.gov.au/NI/1624341,Application for land,1824-1836,"Tonge, Charles",8112,1824-1836,,,,,,,,,
CSO3-1-3_245_T,https://stors.tas.gov.au/CSO3-1-3_245_T,https://stors.tas.gov.au/NI/1624342,Application for a grant of land (9308)|For land as remuneration for services in capture of Aborigines (14263),1824-1836,"Tortosa, Nicholas","9308, 14263",1824-1836,,,,,,,,,
CSO3-1-3_245_T,https://stors.tas.gov.au/CSO3-1-3_245_T,https://stors.tas.gov.au/NI/1624343,For Appointment as District Constable,1824-1836,"Topless, Benjamin",9345,1824-1836,,,,,,,,,
CSO3-1-3_245_T,https://stors.tas.gov.au/CSO3-1-3_245_T,https://stors.tas.gov.au/NI/1624344,Application for a grant of land,1824-1836,"Tod, John",10500,1824-1836,,,,,,,,,
CSO3-1-3_245_T,https://stors.tas.gov.au/CSO3-1-3_245_T,https://stors.tas.gov.au/NI/1624345,For a grant of land (10741)|Fencing of land (18141),1824-1836,"Tolman, J.C","10741, 18141",1824-1836,,,,,,,,,
CSO3-1-3_245_T,https://stors.tas.gov.au/CSO3-1-3_245_T,https://stors.tas.gov.au/NI/1624346,For employment,1824-1836,"Toohey, Peter",13975,1824-1836,,,,,,,,,
CSO3-1-3_246_T|CSO3-1-3_247_T,https://stors.tas.gov.au/CSO3-1-3_246_T|https://stors.tas.gov.au/CSO3-1-3_247_T,https://stors.tas.gov.au/NI/1624347,"Lord Bathurst's instructions (314)|Application for books and iron chest in office (381)|Application for books and iron chest in office (506)|Sums advanced from Military Chest (392)|Application for third room in office (422)|Salary of Naval Officer at Launceston (488)|Error in warrants numbers 341 and 342 (651)|Duty on auctions (1098)|Payment of veterans (1308)|Loan for payment of salaries required (2370)|Deficiency of cash to pay salaries (2371)|Requiring Constables for protection of public money (2372)|Letter from Inspector of Distilleries (2373)|J Thomas to recover certain securities (2374)|Acting, as to destruction of hides (2375)|Acting, abstracts of accounts to 1825 be furnished (2376)|Relative to security given by late Treasurer to Police Fund (2377)|Respecting the closing of his Office (2378)|Duties of (2379)|Mr Haines distillery (2432)|For leave of absence three weeks (3090)|Report upon the robbery of the Colonial Chest (3164)|Respecting quit rents (3270)|Salary of Chief Justice (3271)|Payment of witnesses (3274)|Mode of payment of duties on sugar (3276)|Receipt of the Bank paper (3277)|Receipts on oath (3278)|Means of collecting debts due to the Crown (3279)|Relative to the mode of payment of pensions (3280)|For extra clerk (3282)|Standard value of Rupees (3283)|As to Sub Treasurer Launceston (3572)|Advances on salaries by Colonial Agent (3909)|Robbers of the Chest acquitted (3942)|Assistant Treasurers tender of his resignation (4267)|Counting the Chest by order (4528)|Salaries of his Department (4659)|For stationery (4825)|John Martins request to be allowed time to pay Licence money (4865)|Respecting Colonial spirits being exported duty free (5690)|Respecting the Assistants accounts Launceston (5699)|Application for a warrant (6206)|Respecting the export of spirits (6305)|Correspondence respecting Treasury Bills (6312)|For a Committee to examine the books of the Assistant (6338)|For a return of Customs receipts (6387)|Books required for Launceston (6597)|Return of Public Officers not paying in their fees (7292)|Receipt for deeds of conveyance to the Crown (7297)|For the daily removal of the Chest to the Commisariat (7310)|If he shall accept Mr Hulls drafts (7394)|State of the Colonial Chest (7580)|Salary for the Colonial Secretary and that received by Mr Hamilton as (7699)|Improvement in the Revenue Launceston (7957)|Bills drawn on the Colonial Agent for Mr Burnett (8011)|Office fixtures (8261)|Application for a Confidential Clerk to sleep in the Treasury (8304)|Lieutenant Governor's memo payment of twenty pounds on account of the Colonial Agent to J Thomson (8318)|For money bags (9494)|For a warrant to pay over sums received from Colonial Agent (10761)|Respecting Lieutenant Thompson Naval Officer Launceston defalcation (11073)|Lieutenant Governor as to payment for prosecution of free persons at Quarter Sessions (11178)|Respecting Mrs Alley Lancashires one thousand pounds (11278)|Respecting Colonial Agents remittance in favor of Francis Burn Moncur one thousand eight hundred pounds (12474)|Application for Clerkship by Messrs O'Donahoo and Hunks (12543)|Correspondence as to the disposal of surplus money on impounded cattle (12762)|Reporting the sum of three hundred pounds lodged with the Colonial Agent for Mr Slee (13074)|Reporting the sum of twelve hundred pounds lodged with the Colonial Agent for Major Nairn (13130)|Respecting a Bill on the Treasury exchanged for gold for Major Wilman (13311)|Voluminous papers respecting Mr Thomas' defalcations (11415)|Report of sums received for the sale and rent of Crown Lands (14180)|For authority to pay Mr Russel Roberts one hundred pounds for a similar sum paid to Colonial Agent (14112)|Appointment of Captain Montagu Acting Treasurer (14281)|For a warrant in favor of Messrs Betts, Allport, Mrs Bussell and J Harris for money received by Colonial Agent (14312)|Respecting repairs to vault and locks at the Treasury (14357)|Correspondence with the Auditor respecting his mode of keeping accounts (14464)|Trial between Cornwall Bank and Assistant Treasuer balance of one hundred pounds paid on a forged order (14552)|Relative to paying Chief Justice salary in British silver (14598)|Monies received at Government sales (14768)|That permits should be issued by Police in place of the Assistant Treasurer Launceston (15187)|Explanation of reasons why the Assistant Treasurer had refused cheque from the Customs (15252)|Sums advanced to Registrar of Supreme Court to pay witnesses expenses (15299)|Repayment of five thousand five hundred pounds to the Commisariat on account of the Colonial Agent (15337)|Respecting his Office hours (15607)|Tamar Bank refuse to pay Assistant Treasurers cheques unless by means of Treasury Bills (18667)|Payment of bill remitted by Joseph Thomas (18896)|Appointment of John Gregory Esquire (14885)|Payment of pensions (17935)",1824-1836,,"314, 381, 506, 392, 422, 488, 651, 1098, 1308, 2370, 2371, 2372, 2373, 2374, 2375, 2376, 2377, 2378, 2379, 2432, 3090, 3164, 3270, 3271, 3274, 3276, 3277, 3278, 3279, 3280, 3282, 3283, 3572, 3909, 3942, 4267, 4528, 8318, 4659, 4825, 4865, 5690, 5699, 6206, 6305, 6312, 6338, 6387, 6597, 7292, 7297, 7310, 7394, 7580, 7699, 7957, 8011, 8261, 8304, 8318, 8841, 8842, 9494, 10761, 11073, 11178, 11278, 12474, 12543, 12544, 12762, 13074, 13130, 13311, 11415, 14180, 14112, 14281, 14312, 14357, 14464, 14552, 14598, 14768, 15187, 15252, 15299, 15337, 15607, 18667, 18896, 14885, 17935",1824-1836,,,,Treasurer,Treasurer,,,,
CSO3-1-3_246_T,https://stors.tas.gov.au/CSO3-1-3_246_T,https://stors.tas.gov.au/NI/1624350,For allotment at Ross,1824-1836,"Trainer, Bryan",792,1824-1836,,,,,,,,,
CSO3-1-3_246_T,https://stors.tas.gov.au/CSO3-1-3_246_T,https://stors.tas.gov.au/NI/1624351,"Application for land, S Hills recommendation",1824-1836,"Trenneny, Matthew",1742,1824-1836,,,,,,,,,
CSO3-1-3_246_T,https://stors.tas.gov.au/CSO3-1-3_246_T,https://stors.tas.gov.au/NI/1624352,For location of five hundred acres (2067)|To purchase land (6563)|Appointed Pound Keeper New Norfolk (13520),1824-1836,"Triffitt, James","2067, 6563, 13520, 17212",1824-1836,,,,,,,,,
CSO3-1-3_246_T,https://stors.tas.gov.au/CSO3-1-3_246_T,https://stors.tas.gov.au/NI/1624353,For land,1824-1836,"Triffitt, Thomas",2075,1824-1836,,,,,,,,,
CSO3-1-3_246_T,https://stors.tas.gov.au/CSO3-1-3_246_T,https://stors.tas.gov.au/NI/1624354,"For extra pay as Superintendent of road parties (5921)|Memo respecting a Government horse kept by (6472)|Land, refused (18579)",1824-1836,"Travers, Given Name Not Recorded","5921, 6472, 18579",1824-1836,,,,,,,Lieutenant,,
CSO3-1-3_246_T,https://stors.tas.gov.au/CSO3-1-3_246_T,https://stors.tas.gov.au/NI/1624357,For a town allotment,1824-1836,"Trotter, R.N.T",10255,1824-1836,,,,,,,,,
CSO3-1-3_246_T,https://stors.tas.gov.au/CSO3-1-3_246_T,https://stors.tas.gov.au/NI/1624358,For a town allotment,1824-1836,"Trottman, Thomas",10570,1824-1836,,,,,,,,,
CSO3-1-3_246_T,https://stors.tas.gov.au/CSO3-1-3_246_T,https://stors.tas.gov.au/NI/1624359,Scale fixed by a Committee for Civil Officers,1824-1836,,11727,1824-1836,,,,Travelling expenses,Travelling expenses,,,,
CSO3-1-3_246_T,https://stors.tas.gov.au/CSO3-1-3_246_T,https://stors.tas.gov.au/NI/1624360,For assistance in regaining his grant of two roods at Campbell Town,1824-1836,"Trainer, James",17664,1824-1836,,,,,,,,,
CSO3-1-3_246_T,https://stors.tas.gov.au/CSO3-1-3_246_T,https://stors.tas.gov.au/NI/1624361,For employment for a grant as a veteran,1824-1836,"Trotter, James",18094,1824-1836,,,,,,,,,
CSO3-1-3_249_T,https://stors.tas.gov.au/CSO3-1-3_249_T,https://stors.tas.gov.au/NI/1624364,For a grant of land,1824-1836,"Turner, William T",10623,1824-1836,,,,,,,,,
CSO3-1-3_249_T,https://stors.tas.gov.au/CSO3-1-3_249_T,https://stors.tas.gov.au/NI/1624365,Appointed Chief Clerk Police Office Launceston (10703)|For a town allotment (11014),1824-1836,"Turner, Albert","10703, 11014",1824-1836,,,,,,,,,
CSO3-1-3_249_T,https://stors.tas.gov.au/CSO3-1-3_249_T,https://stors.tas.gov.au/NI/1624366,For appointment as Pound Keeper Hobart Town (13419)|For employment (18176),1824-1836,"Turner, Charles","13419, 18176",1824-1836,,,,,,,,,
CSO3-1-3_249_T,https://stors.tas.gov.au/CSO3-1-3_249_T,https://stors.tas.gov.au/NI/1624367,For land for Wesleyan Chapel Launceston,1824-1836,"Turner, N",15027,1824-1836,,,,,,Reverend,,,
CSO3-1-3_249_T,https://stors.tas.gov.au/CSO3-1-3_249_T,https://stors.tas.gov.au/NI/1624368,Discharged soldier. For a grant,1824-1836,"Turner, Stephen",15030,1824-1836,,,,,,,,,
CSO3-1-3_249_T,https://stors.tas.gov.au/CSO3-1-3_249_T,https://stors.tas.gov.au/NI/1624369,For land,1824-1836,"Tugnett, George",17106,1824-1836,,,,,,,,,
CSO3-1-3_249_T,https://stors.tas.gov.au/CSO3-1-3_249_T,https://stors.tas.gov.au/NI/1624372,Application for land,1824-1836,"Turnbull, F.M",4188,1824-1836,,,,,,,,,
CSO3-1-3_249_T,https://stors.tas.gov.au/CSO3-1-3_249_T,https://stors.tas.gov.au/NI/1624373,For additional land (4202)|Appointed Acting Clerk of Councils (14281)|Remission of fine non attendance as juror (18612)|For appointment of Assistant Surgeon (9285)|Private Secretary (15203),1824-1836,"Turnbull, Adam","4202, 14281, 18612, 9285, 15203",1824-1836,,,,,,,,,
CSO3-1-3_249_T,https://stors.tas.gov.au/CSO3-1-3_249_T,https://stors.tas.gov.au/NI/1624377,Application for land,1824-1836,"Tucker, William",6741,1824-1836,,,,,,,,,
CSO3-1-3_249_T,https://stors.tas.gov.au/CSO3-1-3_249_T,https://stors.tas.gov.au/NI/1624380,Application for a grant of land,1824-1836,"Turner, John",9557,1824-1836,,,,,,,,,
CSO3-1-3_249_T,https://stors.tas.gov.au/CSO3-1-3_249_T,https://stors.tas.gov.au/NI/1624382,Veteran. For a grant for employment,1824-1836,"Turner, Charles",18094,1824-1836,,,,,,,,,
CSO3-1-3_250_T,https://stors.tas.gov.au/CSO3-1-3_250_T,https://stors.tas.gov.au/NI/1624383,Memorial for land,1824-1836,"Twist, James",8106,1824-1836,,,,,,,,,
CSO3-1-3_251_T,https://stors.tas.gov.au/CSO3-1-3_251_T,https://stors.tas.gov.au/NI/1624384,For additional land (8682)|To be Inspector of Stock Bothwell (9875)|For a town allotment Bothwell (9994)|Claim made by. No papers Dumaresq (11121)|Complaint against Assistant Treasurer Davies (15822),1824-1836,"Thomson, Adam","8682, 9875, 9994, 11121, 15822",1824-1836,,,,,,,,,
